Provinsi,Komoditas,Produksi
SULAWESI TENGGARA,Jagung,404441.0
SULAWESI TENGGARA,Kacang Hijau,1942.5
SULAWESI TENGGARA,Kacang Tanah,13160.49
SULAWESI TENGGARA,Kedelai,16582.1
SULAWESI TENGGARA,Padi,2577003.93
SULAWESI UTARA,Jagung,655824.0
SULAWESI UTARA,Kacang Hijau,1166.0
SULAWESI UTARA,Kacang Tanah,10485.03
SULAWESI UTARA,Kedelai,40877.18
SULAWESI UTARA,Padi,1236822.83
SUMATERA BARAT,Jagung,2445828.0
SUMATERA BARAT,Kacang Hijau,1366.0
SUMATERA BARAT,Kacang Tanah,16800.2
SUMATERA BARAT,Kedelai,95.43
SUMATERA BARAT,Padi,6916947.58
SUMATERA SELATAN,Jagung,1612205.0
SUMATERA SELATAN,Kacang Hijau,336.0
SUMATERA SELATAN,Kacang Tanah,2623.0
SUMATERA SELATAN,Kedelai,1092.0
SUMATERA SELATAN,Padi,13812757.72
SUMATERA UTARA,Jagung,5764734.0
SUMATERA UTARA,Kacang Hijau,12843.4
SUMATERA UTARA,Kacang Tanah,29528.58
SUMATERA UTARA,Kedelai,42523.04
SUMATERA UTARA,Padi,10425576.17
