Provinsi,Tahun,Produksi,Komoditas
JAWA TIMUR,2022,119092.49,Kacang Tanah
JAWA TIMUR,2023,110331.0,Kacang Tanah
JAWA TIMUR,2024,93181.0,Kacang Tanah
JAWA TIMUR,2020,68385.5,Kedelai
JAWA TIMUR,2021,73746.15,Kedelai
JAWA TIMUR,2022,70759.07,Kedelai
JAWA TIMUR,2023,100006.0,Kedelai
JAWA TIMUR,2024,66857.0,Kedelai
JAWA TIMUR,2020,9944538.26,Padi
JAWA TIMUR,2021,9789587.67,Padi
JAWA TIMUR,2022,9526515.67,Padi
JAWA TIMUR,2023,9710661.33,Padi
JAWA TIMUR,2024,9270435.29,Padi
KALIMANTAN BARAT,2020,20284.0,Jagung
KALIMANTAN BARAT,2021,44252.0,Jagung
KALIMANTAN BARAT,2022,71717.0,Jagung
KALIMANTAN BARAT,2023,66248.0,Jagung
KALIMANTAN BARAT,2024,90419.0,Jagung
KALIMANTAN BARAT,2020,795.2,Kacang Hijau
KALIMANTAN BARAT,2021,288.7,Kacang Hijau
KALIMANTAN BARAT,2022,527.0,Kacang Hijau
KALIMANTAN BARAT,2023,51.0,Kacang Hijau
KALIMANTAN BARAT,2024,156.0,Kacang Hijau
KALIMANTAN BARAT,2020,885.67,Kacang Tanah
KALIMANTAN BARAT,2021,676.16,Kacang Tanah
KALIMANTAN BARAT,2022,602.42,Kacang Tanah
KALIMANTAN BARAT,2023,400.0,Kacang Tanah
KALIMANTAN BARAT,2024,621.0,Kacang Tanah
KALIMANTAN BARAT,2020,70.94,Kedelai
KALIMANTAN BARAT,2021,251.67,Kedelai
KALIMANTAN BARAT,2022,78.47,Kedelai
KALIMANTAN BARAT,2023,109.0,Kedelai
KALIMANTAN BARAT,2024,28.0,Kedelai
KALIMANTAN BARAT,2020,778170.36,Padi
KALIMANTAN BARAT,2021,711897.0,Padi
KALIMANTAN BARAT,2022,731226.0,Padi
KALIMANTAN BARAT,2023,700291.0,Padi
KALIMANTAN BARAT,2024,764784.15,Padi
KALIMANTAN SELATAN,2020,152797.0,Jagung
KALIMANTAN SELATAN,2021,135326.0,Jagung
KALIMANTAN SELATAN,2022,152255.0,Jagung
KALIMANTAN SELATAN,2023,112150.0,Jagung
KALIMANTAN SELATAN,2024,109438.0,Jagung
KALIMANTAN SELATAN,2020,323.5,Kacang Hijau
KALIMANTAN SELATAN,2021,147.0,Kacang Hijau
KALIMANTAN SELATAN,2022,83.9,Kacang Hijau
KALIMANTAN SELATAN,2023,37.0,Kacang Hijau
KALIMANTAN SELATAN,2024,80.0,Kacang Hijau
KALIMANTAN SELATAN,2020,3512.27,Kacang Tanah
KALIMANTAN SELATAN,2021,3257.86,Kacang Tanah
KALIMANTAN SELATAN,2022,2278.69,Kacang Tanah
KALIMANTAN SELATAN,2023,2123.0,Kacang Tanah
KALIMANTAN SELATAN,2024,2340.0,Kacang Tanah
KALIMANTAN SELATAN,2020,2295.29,Kedelai
KALIMANTAN SELATAN,2021,852.16,Kedelai
KALIMANTAN SELATAN,2022,6161.8,Kedelai
KALIMANTAN SELATAN,2023,3929.0,Kedelai
KALIMANTAN SELATAN,2024,126.0,Kedelai
KALIMANTAN SELATAN,2020,1150306.66,Padi
KALIMANTAN SELATAN,2021,1016314.0,Padi
KALIMANTAN SELATAN,2022,819419.0,Padi
KALIMANTAN SELATAN,2023,875545.73,Padi
KALIMANTAN SELATAN,2024,1029567.93,Padi
KALIMANTAN TENGAH,2020,30998.0,Jagung
KALIMANTAN TENGAH,2021,35440.0,Jagung
KALIMANTAN TENGAH,2022,35934.0,Jagung
KALIMANTAN TENGAH,2023,25483.0,Jagung
KALIMANTAN TENGAH,2024,44638.0,Jagung
KALIMANTAN TENGAH,2020,22.4,Kacang Hijau
KALIMANTAN TENGAH,2021,31.97,Kacang Hijau
KALIMANTAN TENGAH,2022,23.0,Kacang Hijau
KALIMANTAN TENGAH,2023,17.0,Kacang Hijau
KALIMANTAN TENGAH,2024,9.0,Kacang Hijau
KALIMANTAN TENGAH,2020,283.1,Kacang Tanah
KALIMANTAN TENGAH,2021,331.68,Kacang Tanah
KALIMANTAN TENGAH,2022,292.39,Kacang Tanah
