year,province,avg_temperature,avg_humidity,total_precipitation,total_rainfall,total_et0,avg_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,avg_soil_moisture_28_to_100cm,avg_soil_moisture,city_count,total_hourly_records
2020,Papua Selatan,26.331921675774133,87.58774476320582,3434.125,3434.125,1238.6775,0.48500008538251366,0.4862999487704918,0.4877640027322404,0.4863546789617486,4,35136
2020,Papua Tengah,21.06231102003643,91.29462659380692,4581.5199999999995,4581.5199999999995,1072.158,0.4092480418943533,0.41203383424408013,0.4111541438979963,0.41081200667881,5,43920
2020,Riau,26.259073315118393,89.12488615664844,3021.42,3021.42,1213.744,0.41331115664845175,0.41444364754098356,0.4119434198542805,0.4132327413479053,5,43920
2020,Sulawesi Barat,25.38703324225865,87.40767304189436,3105.84,3105.84,1318.228,0.40295658014571945,0.4020382969034609,0.3974277777777778,0.40080755160898607,5,43920
2020,Sulawesi Selatan,26.829510473588346,83.695514571949,2778.46,2778.46,1419.342,0.39467613843351546,0.3905970400728597,0.3767717213114754,0.38734829993928355,5,43920
2020,Sulawesi Tengah,26.4925,87.2377732240437,3488.7400000000002,3488.7400000000002,1299.476,0.410158902550091,0.4094104052823315,0.40132019581056466,0.4069631678809958,5,43920
2020,Sulawesi Tenggara,25.98797358834244,87.55223132969034,2751.42,2751.42,1326.224,0.3601641621129326,0.35765532786885246,0.34806826047358835,0.35529591681845785,5,43920
2020,Sulawesi Utara,25.441614298724954,87.93153460837887,3329.78,3329.78,1315.58,0.37074746698542804,0.3714464651639344,0.37021798155737706,0.37080397123557984,5,43920
2020,Sumatera Barat,23.906129326047356,88.19068761384335,3985.4,3985.4,1172.844,0.41212732240437155,0.41323779599271404,0.4080696948998178,0.4111449377656345,5,43920
2020,Sumatera Selatan,26.466247723132973,86.93859289617487,3270.18,3270.18,1251.714,0.459941029143898,0.4626125227686703,0.46160963114754094,0.4613877276867031,5,43920
2020,Sumatera Utara,24.874146174863387,89.92668488160291,3624.6800000000003,3624.6800000000003,1221.8719999999998,0.4069887978142076,0.40490523679417123,0.40422447632058284,0.40537283697632065,5,43920
2021,Aceh,25.648500000000002,85.64803652968035,2844.64,2844.64,1297.512,0.3605892694063927,0.35777673515981734,0.36004426940639267,0.3594700913242009,5,43800
2021,Bali,25.5012899543379,86.20344748858447,2735.3599999999997,2735.3599999999997,1356.426,0.2707304566210046,0.2586139497716895,0.25364689497716897,0.26099710045662106,5,43800
2021,Banten,26.15345890410959,84.74413242009132,2540.7,2540.7,1312.156,0.38949495433789955,0.3868299086757991,0.38245285388127853,0.3862592389649924,5,43800
2021,Bengkulu,25.28688584474886,87.59376712328768,3900.5800000000004,3900.5800000000004,1271.834,0.39154922374429224,0.3913224885844749,0.39110664383561644,0.3913261187214612,5,43800
2021,DI Yogyakarta,25.522093607305937,84.54616438356165,2975.56,2975.56,1302.5400000000002,0.29585013698630136,0.285999497716895,0.28651022831050227,0.2894532876712329,5,43800
2021,DKI Jakarta,26.78208904109589,82.72860730593607,2577.8,2577.8,1370.878,0.42310225456621003,0.42456498287671235,0.42465924657534243,0.4241088280060883,5,43800
2021,Gorontalo,26.547849315068493,85.77828767123287,2488.2200000000003,2488.2200000000003,1323.516,0.40047865296803653,0.39958584474885844,0.39787070776255706,0.3993117351598173,5,43800
2021,Jambi,25.097413242009132,87.86461187214611,3038.34,3038.34,1265.118,0.4154384474885845,0.41685463470319634,0.41707609589041095,0.4164563926940639,5,43800
2021,Jawa Barat,25.181488584474884,82.68180365296803,2880.2799999999997,2880.2799999999997,1347.2959999999998,0.36151102739726027,0.3577671689497717,0.3565101369863014,0.3585961111111111,5,43800
2021,Jawa Tengah,26.688671232876715,81.83440639269406,2622.8599999999997,2622.8599999999997,1445.2379999999998,0.35925011415525115,0.35860155251141557,0.3596299543378995,0.3591605403348554,5,43800
